ID,tweet
81, After the announcement of election results from 16 LGAs Obaseki leads Ize Iyamu with 79 326 votes FOLLOW LIVE 
82, PDP party agent raises the alarm over the sudden disappearance of the INEC Collation Officer of Orhionmwon LGA An agent of the APC however countered him accusing the PDP of altering election results FOLLOW LIVE 
83, WATCH LIVE Announcement Of Edo Governorship Election Results By INEC Sahara Reporters 
84, Why Refused To Sign Election Result Sheet Declaring Obaseki Winner xe2 x80 x94 Agent WATCH FULL VIDEO 
85, How Edo Citizens Re elected As Governor WATCH FULL VIDEO 
86, Announcement Of Election Result By INEC WATCH FULL VIDEO 
87, BREAKING INEC Officially Announces Obaseki As Winner Of Edo Governorship The Returning Officer announced Obaseki the winner after polling total of 307 955 votes ahead of major opponent Osagie Ize Iyamu FOLLOW LIVE 
88, inecnigeria Must Ensure People With Disability Are Not Excluded From Voting Disability Inclusion Expert WATCH FULL VIDEO 
89, There are no words to describe the vicious cycle of corruption in Nigeria xe2 x80 x99s public service xf0 x9f x98 xa2 xe2 x81 xa3 xe2 x81 xa3 xe2 x81 xa3 
90, am going to North Senatorial by election PDP urges INEC to nullify APC xe2 x80 x99s participation am going to 
91, Today in The Guardian xe2 x80 x93 Disquiet as Edo State elects governor today Get The Guardian on the newsstands for the latest in world news sports and in depth analysis xe2 x81 xa3 xe2 x81 xa3 
92, xe2 x80 x9cWe must live together as brothers and sisters because without peace development cannot take place 
93, xe2 x80 x9cWe are calling on all political parties to commence the necessary internal restructuring to create the enabling disposition for zoning their national chairmen to the northern part of Nigeria 
94, Practice social distancing when picking up copy of The Guardian at your local newsstand to read the for today September 21 2020 xe2 x81 xa3 xe2 x81 xa3 xe2 x81 xa3 
95, President Muhammadu Buhari has congratulated Governor Godwin Obaseki for his victory at Saturday xe2 x80 x99s election conducted by INEC in Edo State 
96, Conducting free and fair elections is one of my main concerns for our democracy and want this commitment to be one of the legacies will leave behind when depart office 
97, In just few days citizens of Edo State will go to the polls to elect governor from among the 14 candidates that are contesting on different political 
98, As the move to tinker with the 1999 Constitution gathers momentum Emeka Anyaoku and other eminent Nigerians have called on President Muhammadu Buhari to adopt the 2005 proposal presented to his predecessor Dr Goodluck Jonathan by PRONACO 
99, The Federal Government on Wednesday declared that Nigeria xe2 x80 x99s 60th Independence Anniversary celebration will be observed for whole year ending September 30th 2021 
100, Today in The Guardian xe2 x80 x93 Buhari Jonathan Atiku others applaud as Obaseki returns Get The Guardian on the newsstands for the latest in world news sports and in depth analysis 
101, Missed any of the week xe2 x80 x99s big stories Here is selection of our top stories from the last seven days 
102, President Muhammadu Buhari yesterday received the President of the African Development Bank AfDB Dr Akinwumi Adesina imploring him to lend support to his administration xe2 x80 x99s quest to address the infrastructure deficit in Nigeria 
103, The immediate past Speaker of the House of Representatives Yakubu Dogara has again decamped to the ruling All Progressives Congress APC 
104, APC caretaker chairman Mai Mala Buni made the disclosure on Friday after Dogara and himself met with President Muhammadu Buhari at the villa in Abuja 
105, How do we trust the results when we break the system by mailing 100 million to people who haven xe2 x80 x99t asked for them and waiting weeks for them to be counted People should vote in person to ensure their are counted accurately 
106, How do we trust the results when we break the system by mailing 100M amp ballot applications to people who haven xe2 x80 x99t asked for them and waiting weeks for them to be counted People should vote in person to ensure their are counted accurately 
107, Polling unit 16 ward 11 Emure Owo Local Government SPD 2 AAC 1 ADC 3 ZLP 6 PDP 38 APC 410 
108, St Peter xe2 x80 x99s School St Peter xe2 x80 x99s area Akure Unit 25 Ward 11 Akure South St Peter xe2 x80 x99s Pry School Akure APC 41 PDP 159 ZLP 9 
109, PHOTO Ever busy Oba Adesida road Akure Deserted 11 16 AM 
110, Current situation at INEC office GRA Akure 
111, LIVE UPDATES 
112, UPDATES 
113, The governorship candidate of the Peoples Democratic Party PDP in Ondo State Eyitayo Jegede SAN is optimistic of winning the election Can he realise his ambition 
114, In the last three weeks inter party confrontations had peaked and campaigns marred with violence in Akure Owo Ijebu Owo Ipele and Akoko axis with the APC and PDP trading blames 
115, 20th of September 2020 1 Anxiety as dispute Edo election results 2 Making of an alleged serial killer 3 okays full reopening of churches mosques 
116, APC alleges party Chair xe2 x80 x99s wife beaten rushed to hospital Iyamu 
117, State collation at INEC Headquarters ongoing 
118, New Benin 1 Ward 6 APC 1 003 PDP 2 788 
119, xe2 x80 x9cJust like their candidate Mr Obaseki PDP is trying to push narrative that they have secured the majority votes and that if APC is declared the winner then something funny has happened 
120, Sharing of bread after voting at Ward 2 Oredo 
121, APC alleges party chairman xe2 x80 x99s wife beaten rushed to hospital 
122, VIDEO Jubilation in Edo over Obaseki xe2 x80 x99s re election 
123, VIDEO Victory parade on Ring road Benin 
124, BREAKING Obaseki wins Edo Governorship election 
125, Edo Governorship final results 
126, No solution yet to electoral violence 
127, DIG Oyebade inspects INEC headquarters ahead of collation via Iyamu 
128, BREAKING Gov Obaseki wins polling unit 
129, Tension over alleged vote buying in Gov Obaseki xe2 x80 x99s PU 
130, Video 80 year old to vote for Obaseki 
131, BREAKING Obaseki queues to vote 
132, Breaking Obaseki Reelected as Edo Governor via 
133, 2 05PM OVIA SOUTH WEST APC xe2 x80 x93 10 636 PDP xe2 x80 x93 12 659 
134, OWAN EAST APC xe2 x80 x93 19295 PDP xe2 x80 x93 14762 
135, Edo APC Chair Loses Polling Unit via 
136, 22nd of June 2020 1 Police DSS INEC deployed in for shadow poll 2 Giadom suspended as Lawan meets 3 Aisha Buhari xe2 x80 x99s ADC security aides restored 
137, INEC don come out say PDP Godwin Obaseki don win edo state election PDP get 307 955 votes while APC get APC 223 619 Shey na the person wey you want win am Abi you think say dey do wuru wuru 
138, The PDP candidate Godwin Obaseki has expressed his displeasure over the planning of the governorship election in the state xe2 x80 x9cGiving that this is sole day election expected better planning for this election he said 
139, Total votes of the Edo state governorship election as announced by INEC APC 223 619 PDP 307 955 Total valid votes 537 407 Rejected votes 12 835 Total votes cast 550 242 
140, claim by Facebook user that Governor Obaseki emerged victorious in his polling unit is correct PDP recorded 80 votes while APC recorded 51 votes 
141, The claim that some pictures shared on Twitter are bundles of money stashed in Oshiomhole xe2 x80 x99s house is misleading 
142, Faults Over Comments On 
143, The moderators of the upcoming debates between US President Donald and his Democratic rival Joe have been announced by the Commission on Presidential Debates 
144, How can this character be our godfather in Edo Never Instead we will buy toothbrush and toothpaste and send him back to his bullion vans in Lagos Igbo man say tufiakwa 
145, APC Was Going To Win in Edo Don xe2 x80 x99t Know What Happened Nasir the Butcher of Southern Kaduna Nasir let me tell you what happened fear of visa ban is what happened 
146, From godfather to dogfather 
147, General has congratulated Governor Obaseki Even Pastor Osagie Ize Iyamu has congratulated him But the 2 godfathers Oshiomhole and Bola have not Why Are they still crying 
148, Recommended Reading Who Is The Uniter and the Divider Comparing Obasanjo with My column 
149, Fairly used chairman for sale in Lagos by auction Comment with your bid 
150, As for you and your colleagues visa ban is waiting for you if you dare try anything funny My name is Reno Omokri the Tormentor If you doubt my word go and ask to travel to America 
151, The precise moment reality dawned on Pastor Osagie Ize Iyamu The Benin Pastor chose the wrong Benefactor May you never have wrong benefactor in Christ xe2 x80 x99s Name xe2 x86 x93 
152, 40000 people signed petition for EU UK to ban Butcher of Southern Kaduna Fear of visa ban is the beginning of free election Sign via this link xe2 x86 x93 
153, You see Edo You can look but you can xe2 x80 x99t touch We defeated 2 godfathers in one day May their political futures be as handsome as their faces And the people of Edo say AMEN 
154, Use visa ban to spread free elections Cage the Butcher of Southern Kaduna Sign the petition for EU UK to ban herdsmen sponsor Sign via this link xe2 x86 x93 
155, Fear of visa ban is the beginning of free elections Cage the Butcher of Southern Kaduna Sign the petition for EU UK to ban the sponsor of genocide 
156, We showed them Edo is not Lagos Now let us cage the Butcher of Southern Kaduna Sign the petition for the EU UK to ban the sponsor of genocide 
157, Caption this xe2 x86 x93 
158, Somebody give this man retirement certificate xe2 x86 x93 
159, Watch Governor Godwin Obaseki Celebrate His Sure Victory 
160, Watch Governor Godwin Obaseki Viewing His Victory 
161, Retweet if you like Bola xe2 x80 x99s fashion sense 
162, Know Your History Meet Pastor Osagie Ize Iyamu the first Nigerian pastor to transform from PASTOR to SHEIKH because of election yet he still lost Choose religion and remain loyal to it no matter what 
163, Know Your History Meet Pastor Osagie Ize Iyamu the first Nigerian to LOSE gubernatorial election on the platform of both and in just 4 years 
164, Retweet this to show Bola that Edo is not Lagos Send Tinubu back with his tail between his legs Edo treasury will not be used for bullion vans 
165, Voting ends collation and counting begin at Odigbo LGA Kosere ward 07 Poling unit primary school area of Koseru South 002 Credit 
166, Voting ends at polling units in Akoko Northwest Ward 06 PU 22 post and Okitipupa LGA Ward 09 PU 010 Iju odo Adekanle as voters wait for officials to count votes Credit 
167, Voting has commenced peacefully at Akoko Northwest Ward 5 Polling Unit 09 in Ajowa as people give and collect money Vote buying activated Credit 
168, After arriving at PU 04 Apoi Ward 2 Idumado Quarter Kiribo Ese Odo LGA in convoy of the casts his vote Credit 
169, After patiently waiting at the queue and card reader failure of finally casts his vote Credit 
170, voter at Ward 10 Oke Otunba PU 7 front of MDS Ododigbo Okedibo II just collapsed on the queue It was observed that he is epileptic Credit 
171, inecnigeria card reader fails to recognise fingerprints It was the first time the machine has recorded failure since voting started Credit 
172, After downpour voter register turns to shreds in Ondo Is this bad omen Credit 
173, Law abiding candidate still on the queue since 9am refuses to cut corners This is indeed leadership by example Credit 
174, Heavy rain at Polling Unit 009 sacred heart Cathedral Akure where the candidate is expected to cast his vote Could this be sign of blessing for him 
175, Team ILAJE Ugbo Ward 4 PU 003 amp 4 No election taking place as they ward looks deserted 
